business_id,name,city,state,neighborhood,address,stars,review_count,is_open,categories,price_range,attributes_wifi,attributes_noise_level,attributes_ambience
MTSW4McQd7CbVtyjqoe9mw,St Honore Pastries,Philadelphia,PA,,935 Race St,4.0,80,1,"Restaurants, Food, Bubble Tea, Coffee & Tea, Bakeries",1,u'free',,
MUTTqe8uqyMdBl186RmNeA,Tuna Bar,Philadelphia,PA,,205 Race St,4.0,245,1,"Sushi Bars, Restaurants, Japanese",2,'free',u'average',"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': False}"
ROeacJQwBeh05Rqg7F6TCg,BAP,Philadelphia,PA,,1224 South St,4.5,205,1,"Korean, Restaurants",1,u'no',u'quiet',"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': None, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}"
aPNXGTDkf-4bjhyMBQxqpQ,Craft Hall,Philadelphia,PA,,901 N Delaware Ave,3.5,65,1,"Eatertainment, Arts & Entertainment, Brewpubs, American (Traditional), Bakeries, Breweries, Food, Restaurants",2,,,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': False}"
ppFCk9aQkM338Rgwpl2F5A,Wawa,Philadelphia,PA,,3604 Chestnut St,3.0,56,1,"Restaurants, Automotive, Delis, Gas Stations, Food, Coffee & Tea, Sandwiches, Convenience Stores",1,u'free',u'average',"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"
3BJxm-HnvzdwD1zjmSbmyQ,Golden Chopstick Chinese Restaurant,Philadelphia,PA,,1800 Spring Garden St,3.0,137,1,"Restaurants, Chinese",1,u'free',u'average',"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': None, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': None}"
2dlQX5sP9X6Dlm1MmNOlSw,ReAnimator Coffee,Philadelphia,PA,,1523 E Susquehanna Ave,4.0,105,1,"Food, Coffee & Tea",1,u'free',,
bTve2mwLk5Zc01vRKqc2KQ,Red Hook Coffee & Tea,Philadelphia,PA,,765 S 4th St,4.5,183,1,"Restaurants, Breakfast & Brunch, Vegan, Bagels, Food, Coffee & Tea",1,'free',u'quiet',"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"
_T0cPZE2ZJOTTlYYKMP64Q,Brown Sugar Bakery & Cafe,Philadelphia,PA,,219 S 52nd St,4.5,66,1,"Cupcakes, Caribbean, Restaurants, Trinidadian, Food, Bakeries, Cafes",1,u'free',u'average',"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"
usv5G5cO314pPHRTGq2Eyw,Best Tours,Philadelphia,PA,,,1.0,38,1,"Tours, Walking Tours, Hotels & Travel, Food Tours",,,,
dChRGpit9fM_kZK5pafNyA,The Love,Philadelphia,PA,,130 S 18th St,4.0,618,1,"Restaurants, American (New), Breakfast & Brunch, Burgers",2,'no',u'average',"{'touristy': False, 'hipster': False, 'romantic': True, 'divey': False, 'intimate': True, 'trendy': True, 'upscale': False, 'classy': True, 'casual': False}"
QWqKTWQ2OiDgo3dzNkpung,Jong Ka Jib,Philadelphia,PA,,6600 N 5th St,4.5,351,1,"Korean, Restaurants",2,u'no',u'average',"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': True}"
eJ77e9lGxY3ArzaoDbHhYw,Paddy Whacks Irish Sports Pub - South Street,Philadelphia,PA,,150 South St,2.5,161,1,"Bars, Nightlife, Pubs",2,u'free',u'loud',"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}"
7mpYTDb24SywNMRn3yeakQ,The Twisted Tail,Philadelphia,PA,,509 S 2nd St,4.0,604,1,"Event Planning & Services, Whiskey Bars, American (New), American (Traditional), Venues & Event Spaces, Bars, Nightlife, Restaurants",2,u'free',u'average',"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': True}"
TGfPJHImEq6AQL9a1laxlg,Chick-fil-A,Philadelphia,PA,,9711 Roosevelt Blvd,4.0,80,1,"Event Planning & Services, American (Traditional), Restaurants, Food, Caterers, Fast Food, Chicken Shop, Breakfast & Brunch",1,u'free','average',"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"
CPgWuWGZ4v2sZr5_-1kluw,Checkers,Philadelphia,PA,,1208 N. Broad,2.0,21,1,"Restaurants, Fast Food, Burgers",1,u'no','average',"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"
VCkSUsdL5P0p16DAPxVROA,NY Bagel & Deli Shop,Philadelphia,PA,,1120 Buttonwood St,4.0,31,1,"Bagels, Food, Breakfast & Brunch, Coffee & Tea, Restaurants, Burgers, Delis",,u'free',u'average',"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"
kGjpBqAqG4mIuFSgU2KKEA,The Royal Indian Cuisine,Philadelphia,PA,,272 S 20th St,4.0,28,1,"Restaurants, Indian",,u'no',,"{'touristy': None, 'hipster': None, 'romantic': None, 'divey': None, 'intimate': True, 'trendy': None, 'upscale': None, 'classy': None, 'casual': None}"
