business_id,name,stars,review_count,price_range,city,address,categories,profile_text
MTSW4McQd7CbVtyjqoe9mw,St Honore Pastries,4.0,80,1.0,Philadelphia,935 Race St,"Restaurants, Food, Bubble Tea, Coffee & Tea, Bakeries","St Honore Pastries. Cuisine: Restaurants, Food, Bubble Tea, Coffee & Tea, Bakeries. Located at 935 Race St, Philadelphia. Rating: 4.0 stars. WiFi: free. Popular Keywords: cake, buns, cakes, bakery, pork, chinatown, pastries, tarts, roast, taste, sweet, taro, roll, lady, tried. Reviews: We have tried many of the bakeries in Chinatown and beleive that this is the best one. The quality of their pastries is superior and their deserts are also more attractive than the other bakeries. This is my go to for a chinatown bakery. I can only comment on the cakes but my cake experience has been great. They are not pricey by any means. I think a 6-inch strawberry cake for Mothers Day cost me only $12. Don't think that because it's not pricey that the taste will be bad. We all loved the cake. The cream was light and the cake moi Ordered a birthday cake here for the first time based on the reviews. I ordered a few days in advance, a chocolate cake with vanilla frosting that said happy birthday mom. They only did 8 in chocolate cakes which is fine. When I went to pick up, I was disappointed to see they had put some chocolate "
MUTTqe8uqyMdBl186RmNeA,Tuna Bar,4.0,245,2.0,Philadelphia,205 Race St,"Sushi Bars, Restaurants, Japanese","Tuna Bar. Cuisine: Sushi Bars, Restaurants, Japanese. Located at 205 Race St, Philadelphia. Rating: 4.0 stars. Noise level: average. WiFi: free. Ambience: classy. Popular Keywords: sushi, roll, tuna, rolls, hour, avocado, happy, spicy, salmon, fried, drinks, price, small, night, soup. Reviews: Tuna bar has great sushi and a very creative mix of food on the menu. But it's drinks are WAY over priced and its service is lacking for the price point. I love their fresh sushi but I don't go there as often as I would like because of the service and prices. The drinks are $12-15 for very small por Everything was awesome. Comfortable, clean atmosphere and the food was outstanding. Definitely making another trip. Thanks Ken. Tuna Bar is a great place to come for a date night with your boo, friends or gals. The ambience is reallly chill- dimly lit in some sections and decent lighting in others. The decor is relatively simple but very clean and modern. 

We had the tuna tartare & wagyu egg rolls to start. The tuna tartare"
ROeacJQwBeh05Rqg7F6TCg,BAP,4.5,205,1.0,Philadelphia,1224 South St,"Korean, Restaurants","BAP. Cuisine: Korean, Restaurants. Located at 1224 South St, Philadelphia. Rating: 4.5 stars. Noise level: quiet. Ambience: casual. Popular Keywords: bibimbap, korean, small, beef, rice, dolsot, stars, spot, vegetable, chicken, shrimp, sauce, price, portion, stone. Reviews: You could easily miss this place but I was looking for Asian cuisine and this looked promising, judging by the pictures. It's basically a hole in the wall with understated décor of flowers and plants. The older gentleman who works alone in the kitchen greeted me and took my order. He was very kind.  Fantastic Korean Bibimbap just around the corner from my office. I have no idea how I've never been here before, and I'm glad I finally stopped by because the food was fantastic. I got my beef bowl to go, and not only did it come out super quickly, but I got to watch the owner put everything togethe Stay clear! I got the chicken and it was grey!! Veggies were soggy the egg was too runny.  I got it to go so didn't realize until I got home and I don't live close by.  When I bit into it the chicken tasted old and made my stomach turn and the veggies tasted like they were drowned in butter.  Waste "
aPNXGTDkf-4bjhyMBQxqpQ,Craft Hall,3.5,65,2.0,Philadelphia,901 N Delaware Ave,"Eatertainment, Arts & Entertainment, Brewpubs, American (Traditional), Bakeries, Breweries, Food, Restaurants","Craft Hall. Cuisine: Eatertainment, Arts & Entertainment, Brewpubs, American (Traditional), Bakeries, Breweries, Food, Restaurants. Located at 901 N Delaware Ave, Philadelphia. Rating: 3.5 stars. Ambience: classy. Popular Keywords: kids, area, table, beer, space, play, games, while, cool, fries, chicken, seating, outside, want, craft. Reviews: This is a great place to take guests visiting with children, especially when the weather is not very friendly... There are some games for all age groups And the food is as expected/decent for this type of restaurant...My guests visiting especially  loved the French toast, But I guess the kitchen for As a bar, this place has almost everything you'd want. Ping pong, small table games, couches, lots of space for standing and sitting, and also weekly trivia and a huge menu of food and beers! But coming in on Thursday, the crowd didn't meet my expectations. The food was pretty pricey, with a $15 bur First time here and it is great! Huge open space with a variation of places to sit (ie: couches, high top tables, bar). Bartenders are personable, attentive and cocktails are fantastic. Jeff made an amazing manhattan for me. Fabulous beer selection, will be back!"
ppFCk9aQkM338Rgwpl2F5A,Wawa,3.0,56,1.0,Philadelphia,3604 Chestnut St,"Restaurants, Automotive, Delis, Gas Stations, Food, Coffee & Tea, Sandwiches, Convenience Stores","Wawa. Cuisine: Restaurants, Automotive, Delis, Gas Stations, Food, Coffee & Tea, Sandwiches, Convenience Stores. Located at 3604 Chestnut St, Philadelphia. Rating: 3.0 stars. Noise level: average. WiFi: free. Ambience: casual. Popular Keywords: wawa, flurricane, hoagie, better, coffee, most, another, wanted, want, chicken, mcflurry, while, cream, convenient, location. Reviews: Okay, Wawa is actually really good. The sandwiches are better than most chain shops like JJs, Subway, etc. and excellently toasted. They are also pretty cheap and don't forget about free coffee day and all the other deals they have.

The oreo flurricane is on another level. If you have ever been dis Convenient location, but overcrowded most of the time. Coffee is always fresh and snacks seem well stocked.

Sometimes feels understaffed, especially at checkout. Lines can take a while when there's only 1 cashier open. I recently went to Philly because I wanted a good cheesesteak.  Tony Luke's was alright but  I think Wawa was a lot better value for the money.  We don't have Wawa in NY so I really wanted to see if the hoagies were as good as I read about.  This particular Wawa in the UPenn area was pretty nondescr"
3BJxm-HnvzdwD1zjmSbmyQ,Golden Chopstick Chinese Restaurant,3.0,137,1.0,Philadelphia,1800 Spring Garden St,"Restaurants, Chinese","Golden Chopstick Chinese Restaurant. Cuisine: Restaurants, Chinese. Located at 1800 Spring Garden St, Philadelphia. Rating: 3.0 stars. Noise level: average. WiFi: free. Popular Keywords: chinese, chicken, rice, fried, soup, wonton, general, again, clean, cooked, golden, delivery, takeout, still, shrimp. Reviews: So disgusted with this platter you have 65 people working in the store have one of them clean the shrimp it takes less than 2 mins if you can take the shell off you can clean the shrimp. Shrimp were over cooked as well way too crunchy no flavor just bad all around I only bit into one and I was done. The shrimp mei fun and the teriyaki chicken on a stick is very good and the veggie spring rolls were tasty Their dumplings and wonton soup were disgusting, thick and doughy, and the wontons weren't even fully cooked. I've made better dumplings in my own kitchen and I'm a white guy."
2dlQX5sP9X6Dlm1MmNOlSw,ReAnimator Coffee,4.0,105,1.0,Philadelphia,1523 E Susquehanna Ave,"Food, Coffee & Tea","ReAnimator Coffee. Cuisine: Food, Coffee & Tea. Located at 1523 E Susquehanna Ave, Philadelphia. Rating: 4.0 stars. WiFi: free. Popular Keywords: coffee, location, reanimator, options, latte, mins, beans, fishtown, philly, work, morning, online, store, window, helpful. Reviews: Definitely a good cup of coffee. Simple menu, reanimated's own roasted beans are available, way hipster vibe. Residential Fishtown location can make parking a challenge but if you're looking for some Philly coffee put them on your list. There isn't a huge amount of seating in this location, but it's Coffee is delicious! At this location, they offer a variety of toasts - avocado, hummus, ricotta, and kimchi. All were delicious, minus the kimchi- not for me! The coffee shop is generally quiet, people keep to themselves, and it has a nice variety of seating options. They sell coffee beans and mugs This place is extremely pointy. 

I really like there drinks. 

It's a good space to work. 

I like"
bTve2mwLk5Zc01vRKqc2KQ,Red Hook Coffee & Tea,4.5,183,1.0,Philadelphia,765 S 4th St,"Restaurants, Breakfast & Brunch, Vegan, Bagels, Food, Coffee & Tea","Red Hook Coffee & Tea. Cuisine: Restaurants, Breakfast & Brunch, Vegan, Bagels, Food, Coffee & Tea. Located at 765 S 4th St, Philadelphia. Rating: 4.5 stars. Noise level: quiet. WiFi: free. Ambience: casual. Popular Keywords: vegan, coffee, breakfast, sandwich, bacon, salad, cheese, sandwiches, options, spot, cash, side, hook, sauce, potato. Reviews: Quiet little Cafe with lots of character and charm! We had breakfast here while visiting Old Town Philadelphia and were pleasantly surprised!! I eat a Gluten Free, Vegan diet and avoid Oats as well. 

The staff were knowledgeable and very accommodating to my dietary needs and the breakfast was delic I really dig this place for breakfast. Comfortable with quality food. Great coffee as well. One of the better spots around. I definitely recommend. I have been here multiple times. I try something new each visit and they never disappoint. The atmosphere is amazing to have a quick bite and read the paper. Don't forget they are cash only but if you do, they have an atm on premise"
_T0cPZE2ZJOTTlYYKMP64Q,Brown Sugar Bakery & Cafe,4.5,66,1.0,Philadelphia,219 S 52nd St,"Cupcakes, Caribbean, Restaurants, Trinidadian, Food, Bakeries, Cafes","Brown Sugar Bakery & Cafe. Cuisine: Cupcakes, Caribbean, Restaurants, Trinidadian, Food, Bakeries, Cafes. Located at 219 S 52nd St, Philadelphia. Rating: 4.5 stars. Noise level: average. WiFi: free. Popular Keywords: roti, trinidadian, curry, street, platter, chicken, bakery, doubles, found, postmates, options, goat, enough, area, beef. Reviews: Some of the best grub on this planet! Seriously! Chunk Roti with some hot sauce. Some roots drink, maybe a bedroom bully! Some Mac n' Cheese. Super friendly n' quick! My absolute favorite place since I moved to the city. My jaw hit the floor when I saw they had doubles, and then again when I tasted how perfect they are! & Their oxtail is ON POINT! I don't have anything negative to say, this place is a true gem and the employees are so friendly. Their food brings  Great Trinidadian food. I used to go here for years when I lived down the road. Found them on Postmates and jumped at the chance to order some food. I only wish that they updated their Postmates menu because unless you've been here before in person, you're missing some food selections, like side ord"
usv5G5cO314pPHRTGq2Eyw,Best Tours,1.0,38,,Philadelphia,,"Tours, Walking Tours, Hotels & Travel, Food Tours","Best Tours. Cuisine: Tours, Walking Tours, Hotels & Travel, Food Tours. Located at Philadelphia. Rating: 1.0 stars."
